tp,input_len,output_len,freq,rps,power,ttft_p99,tpot_p99
2,1023,99,1080,0.5677054876484291,606.01767193889,0.3488613470395406,0.03816268401200674
2,1023,99,1080,0.6488062715982047,619.0482465426575,0.3700091218948364,0.03928095323210904
2,1023,99,1380,0.6458356334649821,759.4534610802779,0.2894097582499186,0.03341330234112181
2,1023,99,1380,0.8611141779533095,785.8138042267216,0.3100344737370809,0.03556621748894545
2,1023,99,1380,1.0763927224416368,833.8268654646654,0.3541255855560303,0.03626163956584821
2,1023,99,1380,1.291671266929964,841.6606261303814,0.3880543645222981,0.03901381897735023
2,1023,99,1380,1.5069498114182915,872.4566312560177,0.3964255332946777,0.04110176316479441
2,1023,99,1380,1.722228355906619,875.671151369215,0.44077181100845353,0.04338807441795717
2,1023,99,1680,0.6780876531421283,904.3225102558464,0.2537477334340414,0.03168657589727913
2,1023,99,1680,0.9041168708561712,961.1051110182606,0.29648251374562584,0.03389936844299318
2,1023,99,1680,1.130146088570214,992.2880998952402,0.3217979772885641,0.03457194788421954
2,1023,99,1680,1.3561753062842563,1021.1969395064034,0.34112919171651207,0.03699839806938707
2,1023,99,1680,1.5822045239982994,1050.5702852757047,0.36542500416437784,0.03906395849626069
2,1023,99,1680,1.8082337417123424,1067.755906669396,0.38538980007171636,0.04103975677339811
2,1023,99,1830,0.6806309194924823,949.3009797181161,0.2547869364420573,0.03145622935170028
2,1023,99,1830,0.9075078926566432,1014.0939062764629,0.2944376762708028,0.03341365829646167
2,1023,99,1830,1.1343848658208038,1028.2140256569635,0.3241489648818969,0.034822728837242044
2,1023,99,1830,1.361261838984965,1069.526253427485,0.3413481076558431,0.0367639464578235
2,1023,99,1830,1.5881388121491256,1089.539097385344,0.36515792608261105,0.03888694525428816
2,1023,99,1830,1.8150157853132864,1113.7215129002022,0.38710947672526047,0.0408042328432656
4,1023,99,780,0.5523788868619103,843.5769605154732,0.2530792395273844,0.033209438304489615
4,1023,99,780,0.8285683302928655,896.247259997533,0.3508860556284586,0.036406585002040824
4,1023,99,780,1.1047577737238206,930.2413033115117,0.3991892989476522,0.03883748610666526
4,1023,99,780,1.3809472171547756,942.9531434878032,0.4235389161109924,0.04322145941363953
4,1023,99,780,1.657136660585731,961.7083559755029,0.47342827637990315,0.04508031668962537
4,1023,99,780,1.933326104016686,975.6049612060319,0.500362517038981,0.04781418595782399
4,1023,99,780,2.209515547447641,988.0408228179018,0.4957103045781454,0.053122878026598604
4,1023,99,1080,0.5248221342290037,898.9728120920223,0.17470366557439165,0.022674544485203244
4,1023,99,1080,1.0496442684580074,1054.5493395414715,0.24174978017807006,0.024967168704045722
4,1023,99,1080,1.574466402687011,1133.3934786678808,0.28552082935969036,0.028782600653569888
4,1023,99,1080,2.099288536916015,1172.2318572035017,0.3215838130315145,0.03151908388550878
4,1023,99,1080,2.6241106711450186,1204.6853523856455,0.36933961232503254,0.035327108364626485
4,1023,99,1080,3.148932805374022,1235.388431133087,0.37941770394643154,0.03879006854578521
4,1023,99,1080,3.673754939603026,1260.5643522808696,0.4349527835845948,0.04314078023129376
4,1023,99,1080,4.19857707383203,1289.4533481862134,0.4971173604329427,0.0469129129183681
4,1023,99,1380,0.8103876369764706,1226.7258764044982,0.16563243548075354,0.02019206298517007
4,1023,99,1380,1.6207752739529413,1435.5173356701725,0.2123884868621825,0.02283904303918465
4,1023,99,1380,2.431162910929412,1521.9807641548105,0.2538072427113851,0.026694132671836318
4,1023,99,1380,3.2415505479058826,1584.0101565796256,0.28067170302073163,0.030153457872412266
4,1023,99,1380,4.051938184882353,1650.5052161564552,0.31954565684000635,0.03379708802629006
4,1023,99,1380,4.862325821858824,1710.5711037292238,0.38601715962092104,0.036849357122279575
4,1023,99,1380,5.672713458835295,1772.51389151843,0.46257778803507504,0.04137347891122275
4,1023,99,1380,6.483101095811765,1828.6969213720542,0.537204897403717,0.04649509734336857
4,1023,99,1680,0.950251824746492,1516.720831470546,0.15509199460347492,0.0192702739129259
4,1023,99,1680,1.900503649492984,1755.986403444356,0.20110226074854531,0.022023661530645892
4,1023,99,1680,2.850755474239476,1902.139155003304,0.2273430466651917,0.025744239124319154
4,1023,99,1680,3.801007298985968,2007.1831455918655,0.25503956953684487,0.02883967411156439
4,1023,99,1680,4.75125912373246,2111.990950849666,0.3119126017888388,0.03157816449775304
4,1023,99,1680,5.701510948478952,2202.3414871529026,0.3988392098744709,0.03498174090778776
4,1023,99,1680,6.651762773225444,2304.5511219299556,0.44356513420740745,0.039728826630644073
4,1023,99,1680,7.602014597971936,2384.5496619496375,0.507750981648763,0.046898008443945795
4,1023,99,1830,0.9497500298991576,1596.8761182595779,0.1496344439188639,0.01915606906952321
4,1023,99,1830,1.8995000597983152,1850.6744963759131,0.19504219373067214,0.02187202877782421
4,1023,99,1830,2.8492500896974726,1993.4732799687915,0.22938257058461511,0.025478318269217176
4,1023,99,1830,3.7990001195966303,2100.8876278022612,0.25434368769327803,0.028493348408332064
4,1023,99,1830,4.748750149495788,2179.153218527409,0.3099356587727866,0.031135121260681107
4,1023,99,1830,5.698500179394945,2287.1249005440222,0.370203749338786,0.03461430993741613
4,1023,99,1830,6.648250209294103,2361.3044091450333,0.4424077137311298,0.03940874980132574
4,1023,99,1830,7.598000239193261,2438.60308820999,0.5088366842269897,0.04651990612768702
8,1023,99,780,0.5127071198433776,1287.9832036457485,0.162408447265625,0.022663854499659287
8,1023,99,780,1.0254142396867552,1477.3288165433994,0.23316534360249838,0.02557402042925493
8,1023,99,780,1.5381213595301326,1563.6415189074621,0.2751020177205403,0.029620748000543245
8,1023,99,780,2.0508284793735103,1604.471412784671,0.31050716479619345,0.03289753683047621
8,1023,99,780,2.563535599216888,1642.578949773297,0.3288449668884275,0.036740950495783596
8,1023,99,780,3.0762427190602653,1673.5619254980654,0.3492927583058674,0.03960491635809648
8,1023,99,780,3.588949838903643,1703.730095071357,0.3887104050318399,0.04252145944636176
8,1023,99,780,4.101656958747021,1738.5084212903157,0.43958447456359856,0.04719269244530572
8,1023,99,1080,1.1145022949681411,1646.363272281257,0.15411551396052045,0.01788096276813234
8,1023,99,1080,2.2290045899362823,1850.1889609785069,0.18843539396921796,0.022735563893262895
8,1023,99,1080,3.343506884904423,1960.859618575141,0.230395237604777,0.02589352524490182
8,1023,99,1080,4.4580091798725645,2028.8919976813816,0.28788594166437775,0.028946261626292557
8,1023,99,1080,5.572511474840706,2108.840170599333,0.35542064348856633,0.03233422925387605
